"Country","Day","Confirmed","Deaths","Recovered"
"Afghanistan",1,1,0,0
"Afghanistan",2,1,0,0
"Afghanistan",3,1,0,0
"Afghanistan",4,1,0,0
"Afghanistan",5,1,0,0
"Afghanistan",6,1,0,0
"Afghanistan",7,1,0,0
"Afghanistan",8,1,0,0
"Afghanistan",9,1,0,0
"Afghanistan",10,1,0,0
"Afghanistan",11,1,0,0
"Afghanistan",12,1,0,0
"Afghanistan",13,1,0,0
"Afghanistan",14,4,0,0
"Afghanistan",15,4,0,0
"Afghanistan",16,5,0,0
"Afghanistan",17,7,0,0
"Afghanistan",18,7,0,0
"Afghanistan",19,7,0,0
"Afghanistan",20,11,0,0
"Afghanistan",21,16,0,0
"Afghanistan",22,21,0,1
"Afghanistan",23,22,0,1
"Afghanistan",24,22,0,1
"Afghanistan",25,22,0,1
"Afghanistan",26,24,0,1
"Afghanistan",27,24,0,1
"Afghanistan",28,40,1,1
"Afghanistan",29,40,1,1
"Afghanistan",30,74,1,1
"Afghanistan",31,84,2,2
"Afghanistan",32,94,4,2
"Afghanistan",33,110,4,2
"Afghanistan",34,110,4,2
"Afghanistan",35,120,4,2
"Afghanistan",36,170,4,2
"Afghanistan",37,174,4,5
"Afghanistan",38,237,4,5
"Afghanistan",39,273,6,10
"Afghanistan",40,281,6,10
"Afghanistan",41,299,7,10
"Afghanistan",42,349,7,15
"Afghanistan",43,367,11,18
"Afghanistan",44,423,14,18
"Afghanistan",45,444,14,29
"Afghanistan",46,484,15,32
