"Country","Day","Confirmed","Deaths","Recovered"
"Albania",1,2,0,0
"Albania",2,10,0,0
"Albania",3,12,1,0
"Albania",4,23,1,0
"Albania",5,33,1,0
"Albania",6,38,1,0
"Albania",7,42,1,0
"Albania",8,51,1,0
"Albania",9,55,1,0
"Albania",10,59,2,0
"Albania",11,64,2,0
"Albania",12,70,2,0
"Albania",13,76,2,2
"Albania",14,89,2,2
"Albania",15,104,4,2
"Albania",16,123,5,10
"Albania",17,146,5,17
"Albania",18,174,6,17
"Albania",19,186,8,31
"Albania",20,197,10,31
"Albania",21,212,10,33
"Albania",22,223,11,44
"Albania",23,243,15,52
"Albania",24,259,15,67
"Albania",25,277,16,76
"Albania",26,304,17,89
"Albania",27,333,20,99
"Albania",28,361,20,104
"Albania",29,377,21,116
"Albania",30,383,22,131
"Albania",31,400,22,154
"Albania",32,409,23,165
