"Country","Day","Confirmed","Deaths","Recovered"
"Algeria",1,1,0,0
"Algeria",2,1,0,0
"Algeria",3,1,0,0
"Algeria",4,1,0,0
"Algeria",5,1,0,0
"Algeria",6,1,0,0
"Algeria",7,3,0,0
"Algeria",8,5,0,0
"Algeria",9,12,0,0
"Algeria",10,12,0,0
"Algeria",11,17,0,0
"Algeria",12,17,0,0
"Algeria",13,19,0,0
"Algeria",14,20,0,0
"Algeria",15,20,0,0
"Algeria",16,20,0,0
"Algeria",17,24,1,8
"Algeria",18,26,2,8
"Algeria",19,37,3,12
"Algeria",20,48,4,12
"Algeria",21,54,4,12
"Algeria",22,60,4,12
"Algeria",23,74,7,12
"Algeria",24,87,9,32
"Algeria",25,90,11,32
"Algeria",26,139,15,32
"Algeria",27,201,17,65
"Algeria",28,230,17,65
"Algeria",29,264,19,24
"Algeria",30,302,21,65
"Algeria",31,367,25,29
"Algeria",32,409,26,29
"Algeria",33,454,29,31
"Algeria",34,511,31,31
"Algeria",35,584,35,37
"Algeria",36,716,44,46
"Algeria",37,847,58,61
"Algeria",38,986,86,61
"Algeria",39,1171,105,62
"Algeria",40,1251,130,90
"Algeria",41,1320,152,90
"Algeria",42,1423,173,90
"Algeria",43,1468,193,113
"Algeria",44,1572,205,237
"Algeria",45,1666,235,347
