"Country","Day","Confirmed","Deaths","Recovered"
"Andorra",1,1,0,0
"Andorra",2,1,0,0
"Andorra",3,1,0,0
"Andorra",4,1,0,0
"Andorra",5,1,0,0
"Andorra",6,1,0,0
"Andorra",7,1,0,0
"Andorra",8,1,0,0
"Andorra",9,1,0,0
"Andorra",10,1,0,0
"Andorra",11,1,0,1
"Andorra",12,1,0,0
"Andorra",13,1,0,1
"Andorra",14,1,0,1
"Andorra",15,2,0,1
"Andorra",16,39,0,1
"Andorra",17,39,0,1
"Andorra",18,53,0,1
"Andorra",19,75,0,1
"Andorra",20,88,0,1
"Andorra",21,113,1,1
"Andorra",22,133,1,1
"Andorra",23,164,1,1
"Andorra",24,188,1,1
"Andorra",25,224,3,1
"Andorra",26,267,3,1
"Andorra",27,308,3,1
"Andorra",28,334,6,1
"Andorra",29,370,8,10
"Andorra",30,376,12,10
"Andorra",31,390,14,10
"Andorra",32,428,15,10
"Andorra",33,439,16,16
"Andorra",34,466,17,21
"Andorra",35,501,18,26
"Andorra",36,525,21,31
"Andorra",37,545,22,39
"Andorra",38,564,23,52
"Andorra",39,583,25,58
