"Country","Day","Confirmed","Deaths","Recovered"
"Armenia",1,1,0,0
"Armenia",2,1,0,0
"Armenia",3,1,0,0
"Armenia",4,1,0,0
"Armenia",5,1,0,0
"Armenia",6,1,0,0
"Armenia",7,1,0,0
"Armenia",8,1,0,0
"Armenia",9,1,0,0
"Armenia",10,1,0,0
"Armenia",11,1,0,0
"Armenia",12,4,0,0
"Armenia",13,8,0,0
"Armenia",14,18,0,0
"Armenia",15,26,0,0
"Armenia",16,52,0,0
"Armenia",17,78,0,1
"Armenia",18,84,0,1
"Armenia",19,115,0,1
"Armenia",20,136,0,1
"Armenia",21,160,0,1
"Armenia",22,194,0,2
"Armenia",23,235,0,2
"Armenia",24,249,0,14
"Armenia",25,265,0,16
"Armenia",26,290,1,18
"Armenia",27,329,1,28
"Armenia",28,407,1,30
"Armenia",29,424,3,30
"Armenia",30,482,3,30
"Armenia",31,532,3,30
"Armenia",32,571,4,31
"Armenia",33,663,7,33
"Armenia",34,736,7,43
"Armenia",35,770,7,43
"Armenia",36,822,7,57
"Armenia",37,833,8,62
"Armenia",38,853,8,87
"Armenia",39,881,9,114
"Armenia",40,921,10,138
