"Country","Day","Confirmed","Deaths","Recovered"
"Austria",1,2,0,0
"Austria",2,2,0,0
"Austria",3,3,0,0
"Austria",4,3,0,0
"Austria",5,9,0,0
"Austria",6,14,0,0
"Austria",7,18,0,0
"Austria",8,21,0,0
"Austria",9,29,0,0
"Austria",10,41,0,0
"Austria",11,55,0,0
"Austria",12,79,0,0
"Austria",13,104,0,0
"Austria",14,131,0,2
"Austria",15,182,0,4
"Austria",16,246,0,4
"Austria",17,302,1,4
"Austria",18,504,1,6
"Austria",19,655,1,6
"Austria",20,860,1,6
"Austria",21,1018,3,6
"Austria",22,1332,3,1
"Austria",23,1646,4,9
"Austria",24,2013,6,9
"Austria",25,2388,6,9
"Austria",26,2814,8,9
"Austria",27,3580,16,9
"Austria",28,4474,21,9
"Austria",29,5283,28,9
"Austria",30,5588,30,9
"Austria",31,6909,49,112
"Austria",32,7657,58,225
"Austria",33,8271,68,225
"Austria",34,8788,86,479
"Austria",35,9618,108,636
"Austria",36,10180,128,1095
"Austria",37,10711,146,1436
"Austria",38,11129,158,1749
"Austria",39,11524,168,2022
"Austria",40,11781,186,2507
"Austria",41,12051,204,2998
"Austria",42,12297,220,3463
"Austria",43,12639,243,4046
"Austria",44,12942,273,4512
"Austria",45,13244,295,5240
