"Country","Day","Confirmed","Deaths","Recovered"
"Azerbaijan",1,3,0,0
"Azerbaijan",2,3,0,0
"Azerbaijan",3,3,0,0
"Azerbaijan",4,3,0,0
"Azerbaijan",5,6,0,0
"Azerbaijan",6,6,0,0
"Azerbaijan",7,9,0,0
"Azerbaijan",8,9,0,0
"Azerbaijan",9,9,0,0
"Azerbaijan",10,11,0,0
"Azerbaijan",11,11,0,3
"Azerbaijan",12,11,0,3
"Azerbaijan",13,15,1,3
"Azerbaijan",14,15,1,3
"Azerbaijan",15,23,1,6
"Azerbaijan",16,15,1,6
"Azerbaijan",17,28,1,6
"Azerbaijan",18,28,1,6
"Azerbaijan",19,44,1,6
"Azerbaijan",20,44,1,6
"Azerbaijan",21,53,1,11
"Azerbaijan",22,65,1,11
"Azerbaijan",23,72,1,10
"Azerbaijan",24,87,1,10
"Azerbaijan",25,93,2,10
"Azerbaijan",26,122,3,15
"Azerbaijan",27,165,3,15
"Azerbaijan",28,182,4,15
"Azerbaijan",29,209,4,15
"Azerbaijan",30,273,4,26
"Azerbaijan",31,298,5,26
"Azerbaijan",32,359,5,26
"Azerbaijan",33,400,5,26
"Azerbaijan",34,443,5,32
"Azerbaijan",35,521,5,32
"Azerbaijan",36,584,7,32
"Azerbaijan",37,641,7,44
"Azerbaijan",38,717,8,44
"Azerbaijan",39,822,8,63
"Azerbaijan",40,926,9,101
