"Country","Day","Confirmed","Deaths","Recovered"
"Bahrain",1,1,0,0
"Bahrain",2,23,0,0
"Bahrain",3,33,0,0
"Bahrain",4,33,0,0
"Bahrain",5,36,0,0
"Bahrain",6,41,0,0
"Bahrain",7,47,0,0
"Bahrain",8,49,0,0
"Bahrain",9,49,0,0
"Bahrain",10,52,0,0
"Bahrain",11,55,0,0
"Bahrain",12,60,0,4
"Bahrain",13,85,0,4
"Bahrain",14,85,0,4
"Bahrain",15,95,0,14
"Bahrain",16,110,0,22
"Bahrain",17,195,0,35
"Bahrain",18,195,0,35
"Bahrain",19,189,0,44
"Bahrain",20,210,0,44
"Bahrain",21,214,0,60
"Bahrain",22,214,1,77
"Bahrain",23,228,1,81
"Bahrain",24,256,1,88
"Bahrain",25,278,1,100
"Bahrain",26,285,1,100
"Bahrain",27,305,1,125
"Bahrain",28,334,2,149
"Bahrain",29,377,2,164
"Bahrain",30,392,3,177
"Bahrain",31,419,4,177
"Bahrain",32,458,4,204
"Bahrain",33,466,4,227
"Bahrain",34,476,4,265
"Bahrain",35,499,4,272
"Bahrain",36,515,4,279
"Bahrain",37,567,4,295
"Bahrain",38,569,4,337
"Bahrain",39,643,4,381
"Bahrain",40,672,4,382
"Bahrain",41,688,4,423
"Bahrain",42,700,4,431
"Bahrain",43,756,4,458
"Bahrain",44,811,5,458
"Bahrain",45,823,5,477
"Bahrain",46,887,5,519
