"Country","Day","Confirmed","Deaths","Recovered"
"Bangladesh",1,3,0,0
"Bangladesh",2,3,0,0
"Bangladesh",3,3,0,0
"Bangladesh",4,3,0,0
"Bangladesh",5,3,0,0
"Bangladesh",6,3,0,0
"Bangladesh",7,3,0,0
"Bangladesh",8,5,0,0
"Bangladesh",9,8,0,2
"Bangladesh",10,10,0,3
"Bangladesh",11,14,1,3
"Bangladesh",12,17,1,3
"Bangladesh",13,20,1,3
"Bangladesh",14,25,2,3
"Bangladesh",15,27,2,3
"Bangladesh",16,33,3,5
"Bangladesh",17,39,4,5
"Bangladesh",18,39,5,7
"Bangladesh",19,44,5,11
"Bangladesh",20,48,5,11
"Bangladesh",21,48,5,15
"Bangladesh",22,48,5,15
"Bangladesh",23,49,5,19
"Bangladesh",24,51,5,25
"Bangladesh",25,54,6,25
"Bangladesh",26,56,6,25
"Bangladesh",27,61,6,26
"Bangladesh",28,70,8,30
"Bangladesh",29,88,9,33
"Bangladesh",30,123,12,33
"Bangladesh",31,164,17,33
"Bangladesh",32,218,20,33
"Bangladesh",33,330,21,33
