"Country","Day","Confirmed","Deaths","Recovered"
"Bolivia",1,2,0,0
"Bolivia",2,2,0,0
"Bolivia",3,3,0,0
"Bolivia",4,10,0,0
"Bolivia",5,10,0,0
"Bolivia",6,11,0,0
"Bolivia",7,11,0,0
"Bolivia",8,12,0,0
"Bolivia",9,12,0,0
"Bolivia",10,15,0,0
"Bolivia",11,19,0,0
"Bolivia",12,24,0,0
"Bolivia",13,27,0,0
"Bolivia",14,29,0,0
"Bolivia",15,32,0,0
"Bolivia",16,43,0,0
"Bolivia",17,61,0,0
"Bolivia",18,74,0,0
"Bolivia",19,81,1,0
"Bolivia",20,97,4,0
"Bolivia",21,107,6,0
"Bolivia",22,115,7,1
"Bolivia",23,123,8,1
"Bolivia",24,132,9,1
"Bolivia",25,139,10,1
"Bolivia",26,157,10,2
"Bolivia",27,183,11,2
"Bolivia",28,194,14,2
"Bolivia",29,210,15,2
"Bolivia",30,264,18,2
