"Country","Day","Confirmed","Deaths","Recovered"
"Brazil",1,1,0,0
"Brazil",2,1,0,0
"Brazil",3,1,0,0
"Brazil",4,2,0,0
"Brazil",5,2,0,0
"Brazil",6,2,0,0
"Brazil",7,2,0,0
"Brazil",8,4,0,0
"Brazil",9,4,0,0
"Brazil",10,13,0,0
"Brazil",11,13,0,0
"Brazil",12,20,0,0
"Brazil",13,25,0,0
"Brazil",14,31,0,0
"Brazil",15,38,0,0
"Brazil",16,52,0,0
"Brazil",17,151,0,0
"Brazil",18,151,0,0
"Brazil",19,162,0,0
"Brazil",20,200,0,1
"Brazil",21,321,1,2
"Brazil",22,372,3,2
"Brazil",23,621,6,2
"Brazil",24,793,11,2
"Brazil",25,1021,15,2
"Brazil",26,1546,25,2
"Brazil",27,1924,34,2
"Brazil",28,2247,46,2
"Brazil",29,2554,59,2
"Brazil",30,2985,77,6
"Brazil",31,3417,92,6
"Brazil",32,3904,111,6
"Brazil",33,4256,136,6
"Brazil",34,4579,159,120
"Brazil",35,5717,201,127
"Brazil",36,6836,240,127
"Brazil",37,8044,324,127
"Brazil",38,9056,359,127
"Brazil",39,10360,445,127
"Brazil",40,11130,486,127
"Brazil",41,12161,564,127
"Brazil",42,14034,686,127
"Brazil",43,16170,819,127
"Brazil",44,18092,950,173
