"Country","Day","Confirmed","Deaths","Recovered"
"Bulgaria",1,4,0,0
"Bulgaria",2,4,0,0
"Bulgaria",3,4,0,0
"Bulgaria",4,7,1,0
"Bulgaria",5,7,1,0
"Bulgaria",6,23,1,0
"Bulgaria",7,41,2,0
"Bulgaria",8,51,2,0
"Bulgaria",9,52,2,0
"Bulgaria",10,67,2,0
"Bulgaria",11,92,2,0
"Bulgaria",12,94,3,0
"Bulgaria",13,127,3,0
"Bulgaria",14,163,3,3
"Bulgaria",15,187,3,3
"Bulgaria",16,201,3,3
"Bulgaria",17,218,3,3
"Bulgaria",18,242,3,4
"Bulgaria",19,264,3,8
"Bulgaria",20,293,3,9
"Bulgaria",21,331,7,11
"Bulgaria",22,346,8,14
"Bulgaria",23,359,8,17
"Bulgaria",24,399,8,17
"Bulgaria",25,422,10,20
"Bulgaria",26,457,10,25
"Bulgaria",27,485,14,30
"Bulgaria",28,503,17,34
"Bulgaria",29,531,20,37
"Bulgaria",30,549,22,39
"Bulgaria",31,577,23,42
"Bulgaria",32,593,24,42
"Bulgaria",33,618,24,48
