"Country","Day","Confirmed","Deaths","Recovered"
"Cambodia",1,1,0,0
"Cambodia",2,1,0,0
"Cambodia",3,1,0,0
"Cambodia",4,1,0,0
"Cambodia",5,1,0,0
"Cambodia",6,1,0,0
"Cambodia",7,1,0,0
"Cambodia",8,1,0,0
"Cambodia",9,1,0,0
"Cambodia",10,1,0,0
"Cambodia",11,1,0,0
"Cambodia",12,1,0,0
"Cambodia",13,1,0,0
"Cambodia",14,1,0,0
"Cambodia",15,1,0,0
"Cambodia",16,1,0,0
"Cambodia",17,1,0,1
"Cambodia",18,1,0,1
"Cambodia",19,1,0,1
"Cambodia",20,1,0,1
"Cambodia",21,1,0,1
"Cambodia",22,1,0,1
"Cambodia",23,1,0,1
"Cambodia",24,1,0,1
"Cambodia",25,1,0,1
"Cambodia",26,1,0,1
"Cambodia",27,1,0,1
"Cambodia",28,1,0,1
"Cambodia",29,1,0,1
"Cambodia",30,1,0,1
"Cambodia",31,1,0,1
"Cambodia",32,1,0,1
"Cambodia",33,1,0,1
"Cambodia",34,1,0,1
"Cambodia",35,1,0,1
"Cambodia",36,1,0,1
"Cambodia",37,1,0,1
"Cambodia",38,1,0,1
"Cambodia",39,1,0,1
"Cambodia",40,1,0,1
"Cambodia",41,1,0,1
"Cambodia",42,2,0,1
"Cambodia",43,2,0,1
"Cambodia",44,2,0,1
"Cambodia",45,3,0,1
"Cambodia",46,3,0,1
"Cambodia",47,5,0,1
"Cambodia",48,7,0,1
"Cambodia",49,7,0,1
"Cambodia",50,7,0,1
"Cambodia",51,33,0,1
"Cambodia",52,35,0,1
"Cambodia",53,37,0,1
"Cambodia",54,51,0,1
"Cambodia",55,53,0,1
"Cambodia",56,84,0,2
"Cambodia",57,87,0,2
"Cambodia",58,91,0,4
"Cambodia",59,96,0,10
"Cambodia",60,96,0,10
"Cambodia",61,99,0,11
"Cambodia",62,99,0,13
"Cambodia",63,103,0,21
"Cambodia",64,107,0,21
"Cambodia",65,109,0,23
"Cambodia",66,109,0,25
"Cambodia",67,110,0,34
"Cambodia",68,114,0,35
"Cambodia",69,114,0,50
"Cambodia",70,114,0,50
"Cambodia",71,114,0,53
"Cambodia",72,115,0,58
"Cambodia",73,117,0,63
"Cambodia",74,119,0,62
