"Country","Day","Confirmed","Deaths","Recovered"
"Cameroon",1,1,0,0
"Cameroon",2,1,0,0
"Cameroon",3,2,0,0
"Cameroon",4,2,0,0
"Cameroon",5,2,0,0
"Cameroon",6,2,0,0
"Cameroon",7,2,0,0
"Cameroon",8,2,0,0
"Cameroon",9,2,0,0
"Cameroon",10,2,0,0
"Cameroon",11,4,0,0
"Cameroon",12,10,0,0
"Cameroon",13,10,0,0
"Cameroon",14,13,0,0
"Cameroon",15,20,0,0
"Cameroon",16,27,0,0
"Cameroon",17,40,0,2
"Cameroon",18,56,0,2
"Cameroon",19,66,0,2
"Cameroon",20,75,1,2
"Cameroon",21,75,1,2
"Cameroon",22,91,2,2
"Cameroon",23,91,2,2
"Cameroon",24,139,6,5
"Cameroon",25,139,6,5
"Cameroon",26,193,6,5
"Cameroon",27,233,6,10
"Cameroon",28,306,7,10
"Cameroon",29,509,8,17
"Cameroon",30,555,9,17
"Cameroon",31,650,9,17
"Cameroon",32,658,9,17
"Cameroon",33,658,9,43
"Cameroon",34,730,10,60
"Cameroon",35,730,10,60
