"Country","Day","Confirmed","Deaths","Recovered"
"Colombia",1,1,0,0
"Colombia",2,1,0,0
"Colombia",3,1,0,0
"Colombia",4,1,0,0
"Colombia",5,3,0,0
"Colombia",6,9,0,0
"Colombia",7,9,0,0
"Colombia",8,13,0,0
"Colombia",9,22,0,0
"Colombia",10,34,0,0
"Colombia",11,54,0,0
"Colombia",12,65,0,1
"Colombia",13,93,0,1
"Colombia",14,102,0,1
"Colombia",15,128,0,1
"Colombia",16,196,0,1
"Colombia",17,231,2,3
"Colombia",18,277,3,3
"Colombia",19,378,3,6
"Colombia",20,470,4,8
"Colombia",21,491,6,8
"Colombia",22,539,6,10
"Colombia",23,608,6,10
"Colombia",24,702,10,10
"Colombia",25,798,12,15
"Colombia",26,906,16,31
"Colombia",27,1065,17,39
"Colombia",28,1161,19,55
"Colombia",29,1267,25,55
"Colombia",30,1406,32,85
"Colombia",31,1485,35,88
"Colombia",32,1579,46,88
"Colombia",33,1780,50,100
"Colombia",34,2054,54,123
"Colombia",35,2223,69,174
