"Country","Day","Confirmed","Deaths","Recovered"
"Congo (Brazzaville)",1,1,0,0
"Congo (Brazzaville)",2,1,0,0
"Congo (Brazzaville)",3,1,0,0
"Congo (Brazzaville)",4,1,0,0
"Congo (Brazzaville)",5,3,0,0
"Congo (Brazzaville)",6,3,0,0
"Congo (Brazzaville)",7,3,0,0
"Congo (Brazzaville)",8,3,0,0
"Congo (Brazzaville)",9,4,0,0
"Congo (Brazzaville)",10,4,0,0
"Congo (Brazzaville)",11,4,0,0
"Congo (Brazzaville)",12,4,0,0
"Congo (Brazzaville)",13,4,0,0
"Congo (Brazzaville)",14,4,0,0
"Congo (Brazzaville)",15,19,0,0
"Congo (Brazzaville)",16,19,0,0
"Congo (Brazzaville)",17,19,0,0
"Congo (Brazzaville)",18,19,0,0
"Congo (Brazzaville)",19,22,2,2
"Congo (Brazzaville)",20,22,2,2
"Congo (Brazzaville)",21,22,2,2
"Congo (Brazzaville)",22,45,5,2
"Congo (Brazzaville)",23,45,5,2
"Congo (Brazzaville)",24,45,5,2
"Congo (Brazzaville)",25,45,5,2
"Congo (Brazzaville)",26,60,5,5
