"Country","Day","Confirmed","Deaths","Recovered"
"Congo (Kinshasa)",1,1,0,0
"Congo (Kinshasa)",2,1,0,0
"Congo (Kinshasa)",3,2,0,0
"Congo (Kinshasa)",4,2,0,0
"Congo (Kinshasa)",5,2,0,0
"Congo (Kinshasa)",6,2,0,0
"Congo (Kinshasa)",7,3,0,0
"Congo (Kinshasa)",8,4,0,0
"Congo (Kinshasa)",9,14,0,0
"Congo (Kinshasa)",10,18,0,0
"Congo (Kinshasa)",11,23,1,0
"Congo (Kinshasa)",12,30,1,0
"Congo (Kinshasa)",13,36,1,0
"Congo (Kinshasa)",14,45,2,0
"Congo (Kinshasa)",15,48,2,0
"Congo (Kinshasa)",16,51,3,0
"Congo (Kinshasa)",17,51,3,2
"Congo (Kinshasa)",18,65,6,2
"Congo (Kinshasa)",19,65,6,2
"Congo (Kinshasa)",20,81,8,2
"Congo (Kinshasa)",21,98,8,2
"Congo (Kinshasa)",22,109,9,3
"Congo (Kinshasa)",23,134,13,3
"Congo (Kinshasa)",24,134,13,3
"Congo (Kinshasa)",25,154,18,3
"Congo (Kinshasa)",26,154,18,3
"Congo (Kinshasa)",27,161,18,5
"Congo (Kinshasa)",28,180,18,9
"Congo (Kinshasa)",29,180,18,9
"Congo (Kinshasa)",30,180,18,9
