"Country","Day","Confirmed","Deaths","Recovered"
"Costa Rica",1,1,0,0
"Costa Rica",2,1,0,0
"Costa Rica",3,5,0,0
"Costa Rica",4,9,0,0
"Costa Rica",5,9,0,0
"Costa Rica",6,13,0,0
"Costa Rica",7,22,0,0
"Costa Rica",8,23,0,0
"Costa Rica",9,26,0,0
"Costa Rica",10,27,0,0
"Costa Rica",11,35,0,0
"Costa Rica",12,41,0,0
"Costa Rica",13,50,0,0
"Costa Rica",14,69,1,0
"Costa Rica",15,89,1,0
"Costa Rica",16,117,2,2
"Costa Rica",17,134,2,2
"Costa Rica",18,158,2,2
"Costa Rica",19,177,2,2
"Costa Rica",20,201,2,2
"Costa Rica",21,231,2,2
"Costa Rica",22,263,2,3
"Costa Rica",23,295,2,3
"Costa Rica",24,314,2,3
"Costa Rica",25,330,2,4
"Costa Rica",26,347,2,4
"Costa Rica",27,375,2,4
"Costa Rica",28,396,2,6
"Costa Rica",29,416,2,11
"Costa Rica",30,435,2,13
"Costa Rica",31,454,2,16
"Costa Rica",32,467,2,18
"Costa Rica",33,483,2,24
"Costa Rica",34,502,3,29
"Costa Rica",35,539,3,30
