"Country","Day","Confirmed","Deaths","Recovered"
"Cote d'Ivoire",1,1,0,0
"Cote d'Ivoire",2,1,0,0
"Cote d'Ivoire",3,1,0,0
"Cote d'Ivoire",4,1,0,0
"Cote d'Ivoire",5,1,0,0
"Cote d'Ivoire",6,1,0,0
"Cote d'Ivoire",7,5,0,1
"Cote d'Ivoire",8,6,0,1
"Cote d'Ivoire",9,9,0,1
"Cote d'Ivoire",10,9,0,1
"Cote d'Ivoire",11,14,0,1
"Cote d'Ivoire",12,14,0,1
"Cote d'Ivoire",13,25,0,2
"Cote d'Ivoire",14,73,0,2
"Cote d'Ivoire",15,80,0,3
"Cote d'Ivoire",16,96,0,3
"Cote d'Ivoire",17,101,0,3
"Cote d'Ivoire",18,101,0,3
"Cote d'Ivoire",19,165,1,4
"Cote d'Ivoire",20,168,1,6
"Cote d'Ivoire",21,179,1,7
"Cote d'Ivoire",22,190,1,9
"Cote d'Ivoire",23,194,1,15
"Cote d'Ivoire",24,218,1,19
"Cote d'Ivoire",25,245,1,25
"Cote d'Ivoire",26,261,3,37
"Cote d'Ivoire",27,323,3,41
"Cote d'Ivoire",28,349,3,41
"Cote d'Ivoire",29,384,3,48
"Cote d'Ivoire",30,444,3,52
