"Country","Day","Confirmed","Deaths","Recovered"
"Croatia",1,1,0,0
"Croatia",2,3,0,0
"Croatia",3,3,0,0
"Croatia",4,5,0,0
"Croatia",5,6,0,0
"Croatia",6,7,0,0
"Croatia",7,7,0,0
"Croatia",8,9,0,0
"Croatia",9,10,0,0
"Croatia",10,10,0,0
"Croatia",11,11,0,0
"Croatia",12,12,0,0
"Croatia",13,12,0,0
"Croatia",14,12,0,0
"Croatia",15,14,0,0
"Croatia",16,19,0,0
"Croatia",17,19,0,0
"Croatia",18,32,0,1
"Croatia",19,38,0,1
"Croatia",20,49,0,1
"Croatia",21,57,0,2
"Croatia",22,65,0,4
"Croatia",23,81,0,4
"Croatia",24,105,1,5
"Croatia",25,128,1,5
"Croatia",26,206,1,5
"Croatia",27,254,1,5
"Croatia",28,315,1,5
"Croatia",29,382,1,5
"Croatia",30,442,1,22
"Croatia",31,495,3,22
"Croatia",32,586,3,37
"Croatia",33,657,5,45
"Croatia",34,713,6,52
"Croatia",35,790,6,67
"Croatia",36,867,6,67
"Croatia",37,963,6,73
"Croatia",38,1011,7,88
"Croatia",39,1079,8,92
"Croatia",40,1126,12,119
"Croatia",41,1182,15,125
"Croatia",42,1222,16,130
"Croatia",43,1282,18,167
"Croatia",44,1343,19,179
"Croatia",45,1407,20,219
