"Country","Day","Confirmed","Deaths","Recovered"
"Cyprus",1,2,0,0
"Cyprus",2,3,0,0
"Cyprus",3,6,0,0
"Cyprus",4,6,0,0
"Cyprus",5,14,0,0
"Cyprus",6,26,0,0
"Cyprus",7,26,0,0
"Cyprus",8,33,0,0
"Cyprus",9,46,0,0
"Cyprus",10,49,0,0
"Cyprus",11,67,0,0
"Cyprus",12,67,0,0
"Cyprus",13,84,0,0
"Cyprus",14,95,1,3
"Cyprus",15,116,1,3
"Cyprus",16,124,3,3
"Cyprus",17,132,3,3
"Cyprus",18,146,3,4
"Cyprus",19,162,5,15
"Cyprus",20,179,5,15
"Cyprus",21,214,5,15
"Cyprus",22,230,7,22
"Cyprus",23,262,8,23
"Cyprus",24,320,9,28
"Cyprus",25,356,10,28
"Cyprus",26,396,11,28
"Cyprus",27,426,11,33
"Cyprus",28,446,9,37
"Cyprus",29,465,9,45
"Cyprus",30,494,9,47
"Cyprus",31,526,9,52
"Cyprus",32,564,10,53
