"Country","Day","Confirmed","Deaths","Recovered"
"Denmark",1,1,0,0
"Denmark",2,1,0,0
"Denmark",3,3,0,0
"Denmark",4,4,0,0
"Denmark",5,4,0,0
"Denmark",6,6,0,0
"Denmark",7,10,0,0
"Denmark",8,10,0,0
"Denmark",9,23,0,1
"Denmark",10,23,0,1
"Denmark",11,35,0,1
"Denmark",12,90,0,1
"Denmark",13,262,0,1
"Denmark",14,444,0,1
"Denmark",15,617,0,1
"Denmark",16,804,0,1
"Denmark",17,836,1,1
"Denmark",18,875,2,1
"Denmark",19,932,3,1
"Denmark",20,1024,4,1
"Denmark",21,1115,4,1
"Denmark",22,1225,6,1
"Denmark",23,1337,9,1
"Denmark",24,1420,13,1
"Denmark",25,1514,13,4
"Denmark",26,1572,24,24
"Denmark",27,1718,32,36
"Denmark",28,1862,34,41
"Denmark",29,2023,41,50
"Denmark",30,2200,52,57
"Denmark",31,2366,65,57
"Denmark",32,2564,72,73
"Denmark",33,2755,77,73
"Denmark",34,3039,90,77
"Denmark",35,3290,104,971
"Denmark",36,3573,123,1172
"Denmark",37,3946,139,1287
"Denmark",38,4269,161,1379
"Denmark",39,4561,179,1429
"Denmark",40,4875,187,1489
"Denmark",41,5266,203,1621
"Denmark",42,5597,218,1763
"Denmark",43,5830,237,1883
