"Country","Day","Confirmed","Deaths","Recovered"
"Diamond Princess",1,712,10,587
"Diamond Princess",2,712,10,597
"Diamond Princess",3,712,10,597
"Diamond Princess",4,712,10,597
"Diamond Princess",5,712,10,603
"Diamond Princess",6,712,10,603
"Diamond Princess",7,712,10,603
"Diamond Princess",8,712,11,603
"Diamond Princess",9,712,11,619
"Diamond Princess",10,712,11,619
"Diamond Princess",11,712,11,619
"Diamond Princess",12,712,11,619
"Diamond Princess",13,712,11,619
"Diamond Princess",14,712,11,619
"Diamond Princess",15,712,11,619
"Diamond Princess",16,712,11,619
