"Country","Day","Confirmed","Deaths","Recovered"
"Dominican Republic",1,1,0,0
"Dominican Republic",2,1,0,0
"Dominican Republic",3,1,0,0
"Dominican Republic",4,1,0,0
"Dominican Republic",5,1,0,0
"Dominican Republic",6,2,0,0
"Dominican Republic",7,2,0,0
"Dominican Republic",8,5,0,0
"Dominican Republic",9,5,0,0
"Dominican Republic",10,5,0,0
"Dominican Republic",11,5,0,0
"Dominican Republic",12,5,0,0
"Dominican Republic",13,5,0,0
"Dominican Republic",14,11,0,0
"Dominican Republic",15,11,0,0
"Dominican Republic",16,11,0,0
"Dominican Republic",17,21,1,0
"Dominican Republic",18,21,1,0
"Dominican Republic",19,34,2,0
"Dominican Republic",20,72,2,0
"Dominican Republic",21,112,2,0
"Dominican Republic",22,202,3,0
"Dominican Republic",23,245,3,3
"Dominican Republic",24,312,6,3
"Dominican Republic",25,392,10,3
"Dominican Republic",26,488,10,3
"Dominican Republic",27,581,20,3
"Dominican Republic",28,719,28,3
"Dominican Republic",29,859,39,3
"Dominican Republic",30,901,42,4
"Dominican Republic",31,1109,51,5
"Dominican Republic",32,1284,57,9
"Dominican Republic",33,1380,60,16
"Dominican Republic",34,1488,68,16
"Dominican Republic",35,1488,68,16
"Dominican Republic",36,1745,82,17
"Dominican Republic",37,1828,86,33
"Dominican Republic",38,1956,98,36
"Dominican Republic",39,2111,108,50
"Dominican Republic",40,2349,118,80
