"Country","Day","Confirmed","Deaths","Recovered"
"Estonia",1,1,0,0
"Estonia",2,1,0,0
"Estonia",3,1,0,0
"Estonia",4,1,0,0
"Estonia",5,1,0,0
"Estonia",6,2,0,0
"Estonia",7,2,0,0
"Estonia",8,3,0,0
"Estonia",9,10,0,0
"Estonia",10,10,0,0
"Estonia",11,10,0,0
"Estonia",12,10,0,0
"Estonia",13,12,0,0
"Estonia",14,16,0,0
"Estonia",15,16,0,0
"Estonia",16,79,0,0
"Estonia",17,115,0,0
"Estonia",18,171,0,1
"Estonia",19,205,0,1
"Estonia",20,225,0,1
"Estonia",21,258,0,1
"Estonia",22,267,0,1
"Estonia",23,283,0,1
"Estonia",24,306,0,1
"Estonia",25,326,0,4
"Estonia",26,352,0,4
"Estonia",27,369,0,7
"Estonia",28,404,1,8
"Estonia",29,538,1,8
"Estonia",30,575,1,11
"Estonia",31,645,1,20
"Estonia",32,679,3,20
"Estonia",33,715,3,20
"Estonia",34,745,4,26
"Estonia",35,779,5,33
"Estonia",36,858,11,45
"Estonia",37,961,12,48
"Estonia",38,1039,13,59
"Estonia",39,1097,15,62
"Estonia",40,1108,19,62
"Estonia",41,1149,21,69
"Estonia",42,1185,24,72
"Estonia",43,1207,24,83
