"Country","Day","Confirmed","Deaths","Recovered"
"France",1,2,0,0
"France",2,3,0,0
"France",3,3,0,0
"France",4,3,0,0
"France",5,4,0,0
"France",6,5,0,0
"France",7,5,0,0
"France",8,5,0,0
"France",9,6,0,0
"France",10,6,0,0
"France",11,6,0,0
"France",12,6,0,0
"France",13,6,0,0
"France",14,6,0,0
"France",15,6,0,0
"France",16,11,0,0
"France",17,11,0,0
"France",18,11,0,0
"France",19,11,0,0
"France",20,11,0,2
"France",21,11,0,2
"France",22,11,0,2
"France",23,12,1,4
"France",24,12,1,4
"France",25,12,1,4
"France",26,12,1,4
"France",27,12,1,4
"France",28,12,1,4
"France",29,12,1,4
"France",30,12,1,4
"France",31,12,1,4
"France",32,12,1,4
"France",33,14,1,11
"France",34,18,2,11
"France",35,38,2,11
"France",36,57,2,11
"France",37,100,2,12
"France",38,130,2,12
"France",39,191,3,12
"France",40,204,4,12
"France",41,285,4,12
"France",42,377,6,12
"France",43,653,9,12
"France",44,949,11,12
"France",45,1126,19,12
"France",46,1209,19,12
"France",47,1784,33,12
"France",48,2284,48,12
"France",49,2284,48,12
"France",50,3667,79,12
"France",51,4480,91,12
"France",52,4513,91,12
"France",53,6650,148,12
"France",54,7683,148,12
"France",55,9052,148,12
"France",56,10886,243,12
"France",57,12632,450,12
"France",58,14308,562,12
"France",59,16214,676,2201
"France",60,20123,862,2207
"France",61,22622,1102,3288
"France",62,25600,1333,3907
"France",63,29551,1698,4955
"France",64,33402,1997,5707
"France",65,38105,2317,5724
"France",66,40708,2611,7226
"France",67,45170,3030,7964
"France",68,52827,3532,9513
"France",69,57749,4043,11053
"France",70,59929,5398,12548
"France",71,65202,6520,14135
"France",72,90848,7574,15572
"France",73,93773,8093,16349
"France",74,98963,8926,17428
"France",75,110065,10343,19523
"France",76,113959,10887,21452
"France",77,118781,12228,23413
