"Country","Day","Confirmed","Deaths","Recovered"
"Greece",1,1,0,0
"Greece",2,3,0,0
"Greece",3,4,0,0
"Greece",4,4,0,0
"Greece",5,7,0,0
"Greece",6,7,0,0
"Greece",7,7,0,0
"Greece",8,9,0,0
"Greece",9,31,0,0
"Greece",10,45,0,0
"Greece",11,46,0,0
"Greece",12,73,0,0
"Greece",13,73,0,0
"Greece",14,89,0,0
"Greece",15,99,1,0
"Greece",16,99,1,0
"Greece",17,190,1,0
"Greece",18,228,3,8
"Greece",19,331,4,8
"Greece",20,331,4,8
"Greece",21,387,5,8
"Greece",22,418,5,8
"Greece",23,418,6,8
"Greece",24,495,6,19
"Greece",25,530,13,19
"Greece",26,624,15,19
"Greece",27,695,17,29
"Greece",28,743,20,29
"Greece",29,821,22,36
"Greece",30,892,26,36
"Greece",31,966,28,52
"Greece",32,1061,32,52
"Greece",33,1156,38,52
"Greece",34,1212,43,52
"Greece",35,1314,49,52
"Greece",36,1415,50,52
"Greece",37,1544,53,61
"Greece",38,1613,63,78
"Greece",39,1673,68,78
"Greece",40,1735,73,78
"Greece",41,1755,79,269
"Greece",42,1832,81,269
"Greece",43,1884,83,269
"Greece",44,1955,87,269
