"Country","Day","Confirmed","Deaths","Recovered"
"Guatemala",1,1,0,0
"Guatemala",2,1,0,0
"Guatemala",3,2,1,0
"Guatemala",4,6,1,0
"Guatemala",5,6,1,0
"Guatemala",6,9,1,0
"Guatemala",7,12,1,0
"Guatemala",8,17,1,0
"Guatemala",9,19,1,0
"Guatemala",10,20,1,0
"Guatemala",11,21,1,0
"Guatemala",12,24,1,4
"Guatemala",13,25,1,4
"Guatemala",14,28,1,4
"Guatemala",15,34,1,10
"Guatemala",16,34,1,10
"Guatemala",17,36,1,10
"Guatemala",18,38,1,12
"Guatemala",19,39,1,12
"Guatemala",20,47,1,12
"Guatemala",21,50,1,12
"Guatemala",22,61,2,15
"Guatemala",23,61,2,15
"Guatemala",24,70,3,15
"Guatemala",25,77,3,17
"Guatemala",26,87,3,17
"Guatemala",27,95,3,17
