"Country","Day","Confirmed","Deaths","Recovered"
"Hong Kong",1,2,0,0
"Hong Kong",2,2,0,0
"Hong Kong",3,5,0,0
"Hong Kong",4,8,0,0
"Hong Kong",5,8,0,0
"Hong Kong",6,8,0,0
"Hong Kong",7,10,0,0
"Hong Kong",8,10,0,0
"Hong Kong",9,12,0,0
"Hong Kong",10,13,0,0
"Hong Kong",11,15,0,0
"Hong Kong",12,15,0,0
"Hong Kong",13,17,1,0
"Hong Kong",14,21,1,0
"Hong Kong",15,24,1,0
"Hong Kong",16,25,1,0
"Hong Kong",17,26,1,0
"Hong Kong",18,29,1,0
"Hong Kong",19,38,1,0
"Hong Kong",20,49,1,0
"Hong Kong",21,50,1,1
"Hong Kong",22,53,1,1
"Hong Kong",23,56,1,1
"Hong Kong",24,56,1,1
"Hong Kong",25,57,1,2
"Hong Kong",26,60,1,2
"Hong Kong",27,62,1,2
"Hong Kong",28,63,2,5
"Hong Kong",29,68,2,6
"Hong Kong",30,68,2,5
"Hong Kong",31,69,2,6
"Hong Kong",32,74,2,11
"Hong Kong",33,79,2,19
"Hong Kong",34,84,2,19
"Hong Kong",35,91,2,24
"Hong Kong",36,92,2,24
"Hong Kong",37,94,2,30
"Hong Kong",38,95,2,33
"Hong Kong",39,96,2,36
"Hong Kong",40,100,2,36
"Hong Kong",41,100,2,37
"Hong Kong",42,105,2,37
"Hong Kong",43,105,2,43
"Hong Kong",44,107,2,46
"Hong Kong",45,108,2,51
"Hong Kong",46,114,3,58
"Hong Kong",47,115,3,59
