"Country","Day","Confirmed","Deaths","Recovered"
"Iceland",1,1,0,0
"Iceland",2,1,0,0
"Iceland",3,3,0,0
"Iceland",4,6,0,0
"Iceland",5,11,0,0
"Iceland",6,26,0,0
"Iceland",7,34,0,0
"Iceland",8,43,0,0
"Iceland",9,50,0,0
"Iceland",10,50,0,0
"Iceland",11,58,0,0
"Iceland",12,69,0,1
"Iceland",13,85,0,1
"Iceland",14,103,0,1
"Iceland",15,134,0,1
"Iceland",16,156,0,1
"Iceland",17,171,5,8
"Iceland",18,180,0,0
"Iceland",19,220,1,0
"Iceland",20,250,1,5
"Iceland",21,330,1,5
"Iceland",22,409,0,5
"Iceland",23,473,1,22
"Iceland",24,568,1,5
"Iceland",25,588,1,51
"Iceland",26,648,2,51
"Iceland",27,737,2,56
"Iceland",28,802,2,82
"Iceland",29,890,2,97
"Iceland",30,963,2,114
"Iceland",31,1020,2,135
"Iceland",32,1086,2,157
"Iceland",33,1135,2,198
"Iceland",34,1220,2,225
"Iceland",35,1319,4,284
"Iceland",36,1364,4,309
"Iceland",37,1417,4,396
"Iceland",38,1486,4,428
"Iceland",39,1562,6,460
"Iceland",40,1586,6,559
"Iceland",41,1616,6,633
"Iceland",42,1648,6,688
