"Country","Day","Confirmed","Deaths","Recovered"
"Indonesia",1,2,0,0
"Indonesia",2,2,0,0
"Indonesia",3,2,0,0
"Indonesia",4,2,0,0
"Indonesia",5,4,0,0
"Indonesia",6,4,0,0
"Indonesia",7,6,0,0
"Indonesia",8,19,0,0
"Indonesia",9,27,0,2
"Indonesia",10,34,1,2
"Indonesia",11,34,1,2
"Indonesia",12,69,4,2
"Indonesia",13,96,5,8
"Indonesia",14,117,5,8
"Indonesia",15,134,5,8
"Indonesia",16,172,5,8
"Indonesia",17,227,19,11
"Indonesia",18,311,25,11
"Indonesia",19,369,32,15
"Indonesia",20,450,38,15
"Indonesia",21,514,48,29
"Indonesia",22,579,49,30
"Indonesia",23,686,55,30
"Indonesia",24,790,58,31
"Indonesia",25,893,78,35
"Indonesia",26,1046,87,46
"Indonesia",27,1155,102,59
"Indonesia",28,1285,114,64
"Indonesia",29,1414,122,75
"Indonesia",30,1528,136,81
"Indonesia",31,1677,157,103
"Indonesia",32,1790,170,112
"Indonesia",33,1986,181,134
"Indonesia",34,2092,191,150
"Indonesia",35,2273,198,164
"Indonesia",36,2491,209,192
"Indonesia",37,2738,221,204
"Indonesia",38,2956,240,222
"Indonesia",39,3293,280,252
