"Country","Day","Confirmed","Deaths","Recovered"
"Iran",1,2,2,0
"Iran",2,5,2,0
"Iran",3,18,4,0
"Iran",4,28,5,0
"Iran",5,43,8,0
"Iran",6,61,12,0
"Iran",7,95,16,0
"Iran",8,139,19,49
"Iran",9,245,26,49
"Iran",10,388,34,73
"Iran",11,593,43,123
"Iran",12,978,54,175
"Iran",13,1501,66,291
"Iran",14,2336,77,291
"Iran",15,2922,92,552
"Iran",16,3513,107,739
"Iran",17,4747,124,913
"Iran",18,5823,145,1669
"Iran",19,6566,194,2134
"Iran",20,7161,237,2394
"Iran",21,8042,291,2731
"Iran",22,9000,354,2959
"Iran",23,10075,429,2959
"Iran",24,11364,514,2959
"Iran",25,12729,611,2959
"Iran",26,13938,724,4590
"Iran",27,14991,853,4590
"Iran",28,16169,988,5389
"Iran",29,17361,1135,5389
"Iran",30,18407,1284,5710
"Iran",31,19644,1433,6745
"Iran",32,20610,1556,7635
"Iran",33,21638,1685,7635
"Iran",34,23049,1812,8376
"Iran",35,24811,1934,8913
"Iran",36,27017,2077,9625
"Iran",37,29406,2234,10457
"Iran",38,32332,2378,11133
"Iran",39,35408,2517,11679
"Iran",40,38309,2640,12391
"Iran",41,41495,2757,13911
"Iran",42,44605,2898,14656
"Iran",43,47593,3036,15473
"Iran",44,50468,3160,16711
"Iran",45,53183,3294,17935
"Iran",46,55743,3452,19736
"Iran",47,58226,3603,19736
"Iran",48,60500,3739,24236
"Iran",49,62589,3872,27039
"Iran",50,64586,3993,29812
"Iran",51,66220,4110,32309
