"Country","Day","Confirmed","Deaths","Recovered"
"Ireland",1,1,0,0
"Ireland",2,1,0,0
"Ireland",3,1,0,0
"Ireland",4,2,0,0
"Ireland",5,6,0,0
"Ireland",6,6,0,0
"Ireland",7,18,0,0
"Ireland",8,18,0,0
"Ireland",9,19,0,0
"Ireland",10,21,0,0
"Ireland",11,34,0,0
"Ireland",12,43,1,0
"Ireland",13,43,1,0
"Ireland",14,90,1,0
"Ireland",15,129,2,0
"Ireland",16,129,2,0
"Ireland",17,169,2,0
"Ireland",18,223,2,5
"Ireland",19,292,2,5
"Ireland",20,557,3,5
"Ireland",21,683,3,5
"Ireland",22,785,3,5
"Ireland",23,906,4,5
"Ireland",24,1125,6,5
"Ireland",25,1329,7,5
"Ireland",26,1564,9,5
"Ireland",27,1819,19,5
"Ireland",28,2121,22,5
"Ireland",29,2415,36,5
"Ireland",30,2615,46,5
"Ireland",31,2910,54,5
"Ireland",32,3235,71,5
"Ireland",33,3447,85,5
"Ireland",34,3849,98,5
"Ireland",35,4273,120,5
"Ireland",36,4604,137,25
"Ireland",37,4994,158,25
"Ireland",38,5364,174,25
"Ireland",39,5709,210,25
"Ireland",40,6074,235,25
"Ireland",41,6574,263,25
