"Country","Day","Confirmed","Deaths","Recovered"
"Israel",1,1,0,0
"Israel",2,1,0,0
"Israel",3,1,0,0
"Israel",4,1,0,0
"Israel",5,1,0,0
"Israel",6,2,0,0
"Israel",7,3,0,1
"Israel",8,4,0,1
"Israel",9,7,0,1
"Israel",10,10,0,1
"Israel",11,10,0,1
"Israel",12,12,0,1
"Israel",13,15,0,1
"Israel",14,16,0,1
"Israel",15,21,0,2
"Israel",16,21,0,2
"Israel",17,39,0,2
"Israel",18,39,0,2
"Israel",19,58,0,4
"Israel",20,109,0,4
"Israel",21,131,0,4
"Israel",22,161,0,4
"Israel",23,193,0,4
"Israel",24,251,0,4
"Israel",25,255,0,4
"Israel",26,337,0,11
"Israel",27,433,0,11
"Israel",28,677,0,11
"Israel",29,705,0,14
"Israel",30,883,1,36
"Israel",31,1071,1,37
"Israel",32,1442,1,41
"Israel",33,1930,3,53
"Israel",34,2369,5,58
"Israel",35,2693,8,68
"Israel",36,3035,12,79
"Israel",37,3619,12,89
"Israel",38,4247,15,132
"Israel",39,4695,16,161
"Israel",40,5358,20,224
"Israel",41,6092,26,241
"Israel",42,6857,36,338
"Israel",43,7428,40,403
"Israel",44,7851,44,427
"Israel",45,8430,49,477
"Israel",46,8904,57,585
"Israel",47,9248,65,770
"Israel",48,9404,73,801
"Israel",49,9968,86,1011
