"Country","Day","Confirmed","Deaths","Recovered"
"Italy",1,2,0,0
"Italy",2,2,0,0
"Italy",3,2,0,0
"Italy",4,2,0,0
"Italy",5,2,0,0
"Italy",6,2,0,0
"Italy",7,2,0,0
"Italy",8,3,0,0
"Italy",9,3,0,0
"Italy",10,3,0,0
"Italy",11,3,0,0
"Italy",12,3,0,0
"Italy",13,3,0,0
"Italy",14,3,0,0
"Italy",15,3,0,0
"Italy",16,3,0,0
"Italy",17,3,0,0
"Italy",18,3,0,0
"Italy",19,3,0,0
"Italy",20,3,0,0
"Italy",21,3,0,0
"Italy",22,20,1,0
"Italy",23,62,2,1
"Italy",24,155,3,2
"Italy",25,229,7,1
"Italy",26,322,10,1
"Italy",27,453,12,3
"Italy",28,655,17,45
"Italy",29,888,21,46
"Italy",30,1128,29,46
"Italy",31,1694,34,83
"Italy",32,2036,52,149
"Italy",33,2502,79,160
"Italy",34,3089,107,276
"Italy",35,3858,148,414
"Italy",36,4636,197,523
"Italy",37,5883,233,589
"Italy",38,7375,366,622
"Italy",39,9172,463,724
"Italy",40,10149,631,724
"Italy",41,12462,827,1045
"Italy",42,12462,827,1045
"Italy",43,17660,1266,1439
"Italy",44,21157,1441,1966
"Italy",45,24747,1809,2335
"Italy",46,27980,2158,2749
"Italy",47,31506,2503,2941
"Italy",48,35713,2978,4025
"Italy",49,41035,3405,4440
"Italy",50,47021,4032,4440
"Italy",51,53578,4825,6072
"Italy",52,59138,5476,7024
"Italy",53,63927,6077,7432
"Italy",54,69176,6820,8326
"Italy",55,74386,7503,9362
"Italy",56,80589,8215,10361
"Italy",57,86498,9134,10950
"Italy",58,92472,10023,12384
"Italy",59,97689,10779,13030
"Italy",60,101739,11591,14620
"Italy",61,105792,12428,15729
"Italy",62,110574,13155,16847
"Italy",63,115242,13915,18278
"Italy",64,119827,14681,19758
"Italy",65,124632,15362,20996
"Italy",66,128948,15887,21815
"Italy",67,132547,16523,22837
"Italy",68,135586,17127,24392
"Italy",69,139422,17669,26491
"Italy",70,143626,18279,28470
