"Country","Day","Confirmed","Deaths","Recovered"
"Japan",1,2,0,0
"Japan",2,1,0,0
"Japan",3,2,0,0
"Japan",4,2,0,0
"Japan",5,4,0,1
"Japan",6,4,0,1
"Japan",7,7,0,1
"Japan",8,7,0,1
"Japan",9,11,0,1
"Japan",10,15,0,1
"Japan",11,20,0,1
"Japan",12,20,0,1
"Japan",13,20,0,1
"Japan",14,22,0,1
"Japan",15,22,0,1
"Japan",16,45,0,1
"Japan",17,25,0,1
"Japan",18,25,0,1
"Japan",19,26,0,1
"Japan",20,26,0,4
"Japan",21,26,0,9
"Japan",22,28,0,9
"Japan",23,28,1,9
"Japan",24,29,1,9
"Japan",25,43,1,12
"Japan",26,59,1,12
"Japan",27,66,1,12
"Japan",28,74,1,13
"Japan",29,84,1,18
"Japan",30,94,1,18
"Japan",31,105,1,22
"Japan",32,122,1,22
"Japan",33,147,1,22
"Japan",34,159,1,22
"Japan",35,170,1,22
"Japan",36,189,2,22
"Japan",37,214,4,22
"Japan",38,228,4,22
"Japan",39,241,5,32
"Japan",40,256,6,32
"Japan",41,274,6,32
"Japan",42,293,6,43
"Japan",43,331,6,43
"Japan",44,360,6,43
"Japan",45,420,6,46
"Japan",46,461,6,76
"Japan",47,502,6,76
"Japan",48,511,17,76
"Japan",49,581,10,101
"Japan",50,639,15,118
"Japan",51,639,16,118
"Japan",52,701,19,118
"Japan",53,773,22,118
"Japan",54,839,22,118
"Japan",55,825,27,144
"Japan",56,878,29,144
"Japan",57,889,29,144
"Japan",58,924,29,150
"Japan",59,963,33,191
"Japan",60,1007,35,232
"Japan",61,1086,36,235
"Japan",62,1128,42,235
"Japan",63,1193,43,285
"Japan",64,1307,45,310
"Japan",65,1387,47,359
"Japan",66,1468,49,372
"Japan",67,1693,52,404
"Japan",68,1866,54,424
"Japan",69,1866,54,424
"Japan",70,1953,56,424
"Japan",71,2178,57,472
"Japan",72,2495,62,472
"Japan",73,2617,63,514
"Japan",74,3139,77,514
"Japan",75,3139,77,514
"Japan",76,3654,85,575
"Japan",77,3906,92,592
"Japan",78,4257,93,622
"Japan",79,4667,94,632
