"Country","Day","Confirmed","Deaths","Recovered"
"Kazakhstan",1,4,0,0
"Kazakhstan",2,6,0,0
"Kazakhstan",3,9,0,0
"Kazakhstan",4,10,0,0
"Kazakhstan",5,33,0,0
"Kazakhstan",6,35,0,0
"Kazakhstan",7,44,0,0
"Kazakhstan",8,49,3,0
"Kazakhstan",9,53,0,0
"Kazakhstan",10,59,0,0
"Kazakhstan",11,62,0,0
"Kazakhstan",12,72,0,0
"Kazakhstan",13,81,0,0
"Kazakhstan",14,111,1,2
"Kazakhstan",15,150,1,3
"Kazakhstan",16,228,1,16
"Kazakhstan",17,284,1,20
"Kazakhstan",18,302,1,21
"Kazakhstan",19,343,2,24
"Kazakhstan",20,380,3,26
"Kazakhstan",21,435,3,27
"Kazakhstan",22,464,6,29
"Kazakhstan",23,531,5,36
"Kazakhstan",24,584,6,42
"Kazakhstan",25,662,6,46
"Kazakhstan",26,697,6,51
"Kazakhstan",27,727,7,54
"Kazakhstan",28,781,8,60
