"Country","Day","Confirmed","Deaths","Recovered"
"Kenya",1,1,0,0
"Kenya",2,1,0,0
"Kenya",3,3,0,0
"Kenya",4,3,0,0
"Kenya",5,3,0,0
"Kenya",6,3,0,0
"Kenya",7,7,0,0
"Kenya",8,7,0,0
"Kenya",9,7,0,0
"Kenya",10,15,0,0
"Kenya",11,16,0,0
"Kenya",12,25,0,0
"Kenya",13,28,0,1
"Kenya",14,31,1,1
"Kenya",15,31,1,1
"Kenya",16,38,1,1
"Kenya",17,42,1,1
"Kenya",18,50,1,1
"Kenya",19,59,1,1
"Kenya",20,81,1,3
"Kenya",21,110,3,4
"Kenya",22,122,4,4
"Kenya",23,126,4,4
"Kenya",24,142,4,4
"Kenya",25,158,6,4
"Kenya",26,172,6,7
"Kenya",27,179,6,9
"Kenya",28,184,7,12
