"Country","Day","Confirmed","Deaths","Recovered"
"Kuwait",1,1,0,0
"Kuwait",2,11,0,0
"Kuwait",3,26,0,0
"Kuwait",4,43,0,0
"Kuwait",5,45,0,0
"Kuwait",6,45,0,0
"Kuwait",7,45,0,0
"Kuwait",8,56,0,0
"Kuwait",9,56,0,0
"Kuwait",10,56,0,0
"Kuwait",11,58,0,0
"Kuwait",12,58,0,0
"Kuwait",13,61,0,0
"Kuwait",14,64,0,1
"Kuwait",15,64,0,1
"Kuwait",16,69,0,1
"Kuwait",17,72,0,2
"Kuwait",18,80,0,5
"Kuwait",19,80,0,5
"Kuwait",20,104,0,5
"Kuwait",21,112,0,5
"Kuwait",22,123,0,9
"Kuwait",23,130,0,9
"Kuwait",24,142,0,15
"Kuwait",25,148,0,18
"Kuwait",26,159,0,18
"Kuwait",27,176,0,27
"Kuwait",28,188,0,30
"Kuwait",29,189,0,30
"Kuwait",30,191,0,39
"Kuwait",31,195,0,43
"Kuwait",32,208,0,49
"Kuwait",33,225,0,57
"Kuwait",34,235,0,64
"Kuwait",35,255,0,67
"Kuwait",36,266,0,72
"Kuwait",37,289,0,73
"Kuwait",38,317,0,80
"Kuwait",39,342,0,81
"Kuwait",40,417,0,82
"Kuwait",41,479,1,93
"Kuwait",42,556,1,99
"Kuwait",43,665,1,103
"Kuwait",44,743,1,105
"Kuwait",45,855,1,111
"Kuwait",46,910,1,111
