"Country","Day","Confirmed","Deaths","Recovered"
"Liechtenstein",1,1,0,0
"Liechtenstein",2,1,0,0
"Liechtenstein",3,1,0,0
"Liechtenstein",4,1,0,0
"Liechtenstein",5,1,0,0
"Liechtenstein",6,1,0,0
"Liechtenstein",7,1,0,0
"Liechtenstein",8,1,0,0
"Liechtenstein",9,1,0,0
"Liechtenstein",10,1,0,0
"Liechtenstein",11,4,0,0
"Liechtenstein",12,4,0,0
"Liechtenstein",13,4,0,0
"Liechtenstein",14,7,0,0
"Liechtenstein",15,28,0,0
"Liechtenstein",16,28,0,0
"Liechtenstein",17,28,0,0
"Liechtenstein",18,37,0,0
"Liechtenstein",19,37,0,0
"Liechtenstein",20,51,0,0
"Liechtenstein",21,51,0,0
"Liechtenstein",22,51,0,0
"Liechtenstein",23,56,0,0
"Liechtenstein",24,56,0,0
"Liechtenstein",25,56,0,0
"Liechtenstein",26,56,0,0
"Liechtenstein",27,62,0,0
"Liechtenstein",28,68,0,0
"Liechtenstein",29,68,0,0
"Liechtenstein",30,75,0,0
"Liechtenstein",31,75,0,0
"Liechtenstein",32,77,1,0
"Liechtenstein",33,77,1,0
"Liechtenstein",34,77,1,55
"Liechtenstein",35,78,1,55
"Liechtenstein",36,78,1,55
"Liechtenstein",37,78,1,55
