"Country","Day","Confirmed","Deaths","Recovered"
"Lithuania",1,1,0,0
"Lithuania",2,1,0,0
"Lithuania",3,1,0,0
"Lithuania",4,1,0,0
"Lithuania",5,1,0,0
"Lithuania",6,1,0,0
"Lithuania",7,1,0,0
"Lithuania",8,1,0,0
"Lithuania",9,1,0,0
"Lithuania",10,1,0,0
"Lithuania",11,1,0,0
"Lithuania",12,1,0,0
"Lithuania",13,3,0,0
"Lithuania",14,3,0,0
"Lithuania",15,6,0,0
"Lithuania",16,8,0,0
"Lithuania",17,12,0,1
"Lithuania",18,17,0,1
"Lithuania",19,25,0,1
"Lithuania",20,27,0,1
"Lithuania",21,36,0,1
"Lithuania",22,49,0,1
"Lithuania",23,83,1,1
"Lithuania",24,129,1,1
"Lithuania",25,179,1,1
"Lithuania",26,209,2,1
"Lithuania",27,274,4,1
"Lithuania",28,299,4,1
"Lithuania",29,358,5,1
"Lithuania",30,394,7,1
"Lithuania",31,460,7,1
"Lithuania",32,491,7,7
"Lithuania",33,537,8,7
"Lithuania",34,581,8,7
"Lithuania",35,649,9,7
"Lithuania",36,696,9,7
"Lithuania",37,771,11,7
"Lithuania",38,811,13,7
"Lithuania",39,843,15,8
"Lithuania",40,880,15,8
"Lithuania",41,912,15,8
"Lithuania",42,955,16,8
