"Country","Day","Confirmed","Deaths","Recovered"
"Luxembourg",1,1,0,0
"Luxembourg",2,1,0,0
"Luxembourg",3,1,0,0
"Luxembourg",4,1,0,0
"Luxembourg",5,1,0,0
"Luxembourg",6,1,0,0
"Luxembourg",7,2,0,0
"Luxembourg",8,2,0,0
"Luxembourg",9,3,0,0
"Luxembourg",10,3,0,0
"Luxembourg",11,5,0,0
"Luxembourg",12,7,0,0
"Luxembourg",13,19,0,0
"Luxembourg",14,34,0,0
"Luxembourg",15,51,1,0
"Luxembourg",16,59,1,0
"Luxembourg",17,77,1,0
"Luxembourg",18,140,1,0
"Luxembourg",19,203,2,0
"Luxembourg",20,335,4,0
"Luxembourg",21,484,4,0
"Luxembourg",22,670,8,0
"Luxembourg",23,798,8,6
"Luxembourg",24,875,8,6
"Luxembourg",25,1099,8,6
"Luxembourg",26,1333,8,6
"Luxembourg",27,1453,9,6
"Luxembourg",28,1605,15,40
"Luxembourg",29,1831,18,40
"Luxembourg",30,1950,21,40
"Luxembourg",31,1988,22,40
"Luxembourg",32,2178,23,80
"Luxembourg",33,2319,29,80
"Luxembourg",34,2487,30,80
"Luxembourg",35,2612,31,500
"Luxembourg",36,2729,31,500
"Luxembourg",37,2804,36,500
"Luxembourg",38,2843,41,500
"Luxembourg",39,2970,44,500
"Luxembourg",40,3034,46,500
"Luxembourg",41,3115,52,500
