"Country","Day","Confirmed","Deaths","Recovered"
"Madagascar",1,3,0,0
"Madagascar",2,3,0,0
"Madagascar",3,3,0,0
"Madagascar",4,12,0,0
"Madagascar",5,17,0,0
"Madagascar",6,19,0,0
"Madagascar",7,23,0,0
"Madagascar",8,26,0,0
"Madagascar",9,26,0,0
"Madagascar",10,39,0,0
"Madagascar",11,43,0,0
"Madagascar",12,57,0,0
"Madagascar",13,57,0,0
"Madagascar",14,59,0,0
"Madagascar",15,70,0,0
"Madagascar",16,70,0,0
"Madagascar",17,72,0,2
"Madagascar",18,82,0,2
"Madagascar",19,88,0,7
"Madagascar",20,93,0,11
"Madagascar",21,93,0,11
