"Country","Day","Confirmed","Deaths","Recovered"
"Mainland China",1,547,17,28
"Mainland China",2,639,18,30
"Mainland China",3,916,26,36
"Mainland China",4,1399,42,39
"Mainland China",5,2062,56,49
"Mainland China",6,2863,82,58
"Mainland China",7,5494,131,101
"Mainland China",8,6070,133,120
"Mainland China",9,8124,171,135
"Mainland China",10,9783,213,214
"Mainland China",11,11871,259,275
"Mainland China",12,16607,361,463
"Mainland China",13,19693,425,614
"Mainland China",14,23680,490,843
"Mainland China",15,27409,562,1115
"Mainland China",16,30553,632,1476
"Mainland China",17,34075,717,1998
"Mainland China",18,36778,804,2595
"Mainland China",19,39790,904,3218
"Mainland China",20,42306,1011,3917
"Mainland China",21,44327,1111,4635
"Mainland China",22,44699,1116,5079
"Mainland China",23,59832,1368,6213
"Mainland China",24,66292,1520,7973
"Mainland China",25,68347,1662,9294
"Mainland China",26,70446,1765,10748
"Mainland China",27,72364,1863,12455
"Mainland China",28,74139,2002,14199
"Mainland China",29,74546,2114,15952
"Mainland China",30,74999,2236,18002
"Mainland China",31,75472,2236,18693
"Mainland China",32,76922,2441,22687
"Mainland China",33,76938,2443,23170
"Mainland China",34,77152,2593,24990
"Mainland China",35,77660,2663,27650
"Mainland China",36,78065,2715,30053
"Mainland China",37,78498,2744,32898
"Mainland China",38,78824,2788,36291
"Mainland China",39,79251,2835,39279
"Mainland China",40,79826,2870,42118
"Mainland China",41,80026,2912,44810
"Mainland China",42,80151,2945,47404
"Mainland China",43,80271,2981,49955
"Mainland China",44,80422,3013,52240
"Mainland China",45,80573,3042,53888
"Mainland China",46,80652,3070,55478
"Mainland China",47,80699,3097,57320
"Mainland China",48,80735,3120,58735
"Mainland China",49,80757,3136,60106
"Mainland China",50,80921,3161,61644
"Mainland China",51,80932,3172,62901
"Mainland China",52,80945,3180,64196
"Mainland China",53,80977,3193,65660
"Mainland China",54,81003,3203,67017
"Mainland China",55,81033,3217,67910
"Mainland China",56,81058,3230,68798
"Mainland China",57,81102,3241,69755
"Mainland China",58,81156,3249,70535
"Mainland China",59,81250,3253,71266
"Mainland China",60,81305,3259,71857
"Mainland China",61,81397,3265,72362
"Mainland China",62,81496,3274,72819
"Mainland China",63,81591,3281,73274
"Mainland China",64,81661,3285,73767
"Mainland China",65,81782,3291,74175
"Mainland China",66,81897,3296,74714
"Mainland China",67,81999,3299,75094
"Mainland China",68,82122,3304,75576
"Mainland China",69,82198,3308,75917
"Mainland China",70,82279,3309,76200
"Mainland China",71,82361,3316,76399
"Mainland China",72,82432,3322,76565
"Mainland China",73,82511,3326,76760
"Mainland China",74,82543,3330,76946
"Mainland China",75,82602,3333,77207
"Mainland China",76,82665,3335,77310
"Mainland China",77,82718,3335,77410
"Mainland China",78,82809,3337,77567
"Mainland China",79,82883,3339,77679
