"Country","Day","Confirmed","Deaths","Recovered"
"Malta",1,3,0,0
"Malta",2,3,0,0
"Malta",3,3,0,0
"Malta",4,5,0,0
"Malta",5,6,0,0
"Malta",6,6,0,0
"Malta",7,12,0,1
"Malta",8,18,0,1
"Malta",9,21,0,1
"Malta",10,30,0,2
"Malta",11,38,0,2
"Malta",12,38,0,2
"Malta",13,53,0,2
"Malta",14,64,0,2
"Malta",15,73,0,2
"Malta",16,90,0,2
"Malta",17,107,0,2
"Malta",18,110,0,2
"Malta",19,129,0,2
"Malta",20,134,0,2
"Malta",21,139,0,2
"Malta",22,149,0,2
"Malta",23,151,0,2
"Malta",24,156,0,2
"Malta",25,169,0,2
"Malta",26,188,0,2
"Malta",27,196,0,2
"Malta",28,202,0,2
"Malta",29,213,0,2
"Malta",30,227,0,5
"Malta",31,241,0,5
"Malta",32,293,0,5
"Malta",33,299,1,16
"Malta",34,337,2,16
