"Country","Day","Confirmed","Deaths","Recovered"
"Moldova",1,1,0,0
"Moldova",2,1,0,0
"Moldova",3,3,0,0
"Moldova",4,3,0,0
"Moldova",5,6,0,0
"Moldova",6,12,0,0
"Moldova",7,23,0,0
"Moldova",8,23,0,0
"Moldova",9,30,0,1
"Moldova",10,30,1,1
"Moldova",11,49,1,1
"Moldova",12,66,1,1
"Moldova",13,80,1,1
"Moldova",14,94,1,1
"Moldova",15,109,1,2
"Moldova",16,125,1,2
"Moldova",17,149,1,2
"Moldova",18,177,1,2
"Moldova",19,199,2,2
"Moldova",20,231,2,2
"Moldova",21,263,2,2
"Moldova",22,298,2,15
"Moldova",23,353,4,18
"Moldova",24,423,5,23
"Moldova",25,505,6,23
"Moldova",26,591,8,26
"Moldova",27,752,12,29
"Moldova",28,864,15,30
"Moldova",29,965,19,37
"Moldova",30,1056,22,40
"Moldova",31,1174,27,40
"Moldova",32,1289,29,50
