"Country","Day","Confirmed","Deaths","Recovered"
"Monaco",1,1,0,0
"Monaco",2,1,0,0
"Monaco",3,1,0,0
"Monaco",4,1,0,0
"Monaco",5,1,0,0
"Monaco",6,1,0,0
"Monaco",7,1,0,0
"Monaco",8,1,0,0
"Monaco",9,1,0,0
"Monaco",10,1,0,0
"Monaco",11,1,0,0
"Monaco",12,1,0,0
"Monaco",13,2,0,0
"Monaco",14,2,0,0
"Monaco",15,2,0,0
"Monaco",16,2,0,0
"Monaco",17,7,0,0
"Monaco",18,7,0,0
"Monaco",19,7,0,0
"Monaco",20,7,0,0
"Monaco",21,11,0,0
"Monaco",22,11,0,0
"Monaco",23,23,0,1
"Monaco",24,23,0,1
"Monaco",25,23,0,1
"Monaco",26,31,0,1
"Monaco",27,33,0,1
"Monaco",28,42,0,1
"Monaco",29,42,0,1
"Monaco",30,46,1,1
"Monaco",31,49,1,1
"Monaco",32,52,1,2
"Monaco",33,55,1,2
"Monaco",34,60,1,2
"Monaco",35,64,1,3
"Monaco",36,66,1,3
"Monaco",37,73,1,3
"Monaco",38,77,1,4
"Monaco",39,79,1,4
"Monaco",40,81,1,4
"Monaco",41,84,1,5
