"Country","Day","Confirmed","Deaths","Recovered"
"Montenegro",1,2,0,0
"Montenegro",2,1,0,0
"Montenegro",3,3,0,0
"Montenegro",4,14,0,0
"Montenegro",5,14,0,0
"Montenegro",6,21,0,0
"Montenegro",7,27,1,0
"Montenegro",8,47,1,0
"Montenegro",9,52,1,0
"Montenegro",10,69,1,0
"Montenegro",11,82,1,0
"Montenegro",12,84,1,0
"Montenegro",13,85,1,0
"Montenegro",14,91,1,0
"Montenegro",15,109,2,0
"Montenegro",16,123,2,0
"Montenegro",17,144,2,0
"Montenegro",18,174,2,1
"Montenegro",19,201,2,1
"Montenegro",20,214,2,1
"Montenegro",21,233,2,1
"Montenegro",22,241,2,4
"Montenegro",23,248,2,4
"Montenegro",24,252,2,4
