"Country","Day","Confirmed","Deaths","Recovered"
"Morocco",1,1,0,0
"Morocco",2,1,0,0
"Morocco",3,1,0,0
"Morocco",4,2,0,0
"Morocco",5,2,0,0
"Morocco",6,2,0,0
"Morocco",7,2,0,0
"Morocco",8,2,0,0
"Morocco",9,3,1,0
"Morocco",10,5,1,0
"Morocco",11,6,1,0
"Morocco",12,7,1,1
"Morocco",13,17,1,1
"Morocco",14,28,1,1
"Morocco",15,29,1,1
"Morocco",16,38,2,1
"Morocco",17,49,2,1
"Morocco",18,63,2,1
"Morocco",19,77,3,1
"Morocco",20,96,3,3
"Morocco",21,115,4,3
"Morocco",22,143,4,5
"Morocco",23,170,5,6
"Morocco",24,225,6,7
"Morocco",25,275,11,8
"Morocco",26,345,23,11
"Morocco",27,402,25,11
"Morocco",28,479,26,13
"Morocco",29,556,33,15
"Morocco",30,617,36,24
"Morocco",31,654,39,29
"Morocco",32,708,44,31
"Morocco",33,791,48,57
"Morocco",34,919,59,66
"Morocco",35,1021,70,76
"Morocco",36,1120,80,81
"Morocco",37,1184,90,93
"Morocco",38,1275,93,97
"Morocco",39,1374,97,109
