"Country","Day","Confirmed","Deaths","Recovered"
"Norway",1,1,0,0
"Norway",2,1,0,0
"Norway",3,6,0,0
"Norway",4,15,0,0
"Norway",5,19,0,0
"Norway",6,25,0,0
"Norway",7,32,0,0
"Norway",8,56,0,0
"Norway",9,87,0,0
"Norway",10,108,0,0
"Norway",11,147,0,0
"Norway",12,176,0,0
"Norway",13,205,0,1
"Norway",14,400,0,1
"Norway",15,598,0,1
"Norway",16,702,0,1
"Norway",17,996,0,1
"Norway",18,1090,3,1
"Norway",19,1221,3,1
"Norway",20,1333,3,1
"Norway",21,1463,3,1
"Norway",22,1550,6,1
"Norway",23,1746,7,1
"Norway",24,1914,7,1
"Norway",25,2118,7,1
"Norway",26,2263,7,6
"Norway",27,2621,10,6
"Norway",28,2863,12,6
"Norway",29,3084,14,6
"Norway",30,3369,14,6
"Norway",31,3755,19,6
"Norway",32,4015,23,7
"Norway",33,4284,25,7
"Norway",34,4445,32,12
"Norway",35,4641,39,13
"Norway",36,4863,44,13
"Norway",37,5147,50,32
"Norway",38,5370,59,32
"Norway",39,5550,62,32
"Norway",40,5687,71,32
"Norway",41,5865,76,32
"Norway",42,6086,89,32
"Norway",43,6086,101,32
"Norway",44,6211,108,32
