"Country","Day","Confirmed","Deaths","Recovered"
"Others",1,61,0,0
"Others",2,61,0,0
"Others",3,64,0,0
"Others",4,135,0,0
"Others",5,135,0,0
"Others",6,175,0,0
"Others",7,175,0,0
"Others",8,218,0,0
"Others",9,285,0,0
"Others",10,355,0,0
"Others",11,454,0,0
"Others",12,542,0,0
"Others",13,621,0,1
"Others",14,634,2,1
"Others",15,634,2,1
"Others",16,634,2,1
"Others",17,691,3,0
"Others",18,691,3,0
"Others",19,691,3,0
"Others",20,705,4,10
"Others",21,705,4,10
"Others",22,705,6,10
"Others",23,705,6,10
"Others",24,705,6,10
"Others",25,705,6,10
"Others",26,706,6,10
"Others",27,706,6,10
"Others",28,706,6,10
"Others",29,696,6,40
"Others",30,696,6,40
"Others",31,696,6,40
"Others",32,696,6,40
"Others",33,696,6,40
