"Country","Day","Confirmed","Deaths","Recovered"
"Pakistan",1,2,0,0
"Pakistan",2,2,0,0
"Pakistan",3,2,0,0
"Pakistan",4,4,0,0
"Pakistan",5,4,0,0
"Pakistan",6,4,0,0
"Pakistan",7,5,0,0
"Pakistan",8,5,0,0
"Pakistan",9,5,0,0
"Pakistan",10,6,0,0
"Pakistan",11,6,0,0
"Pakistan",12,6,0,1
"Pakistan",13,6,0,1
"Pakistan",14,16,0,1
"Pakistan",15,19,0,2
"Pakistan",16,20,0,2
"Pakistan",17,28,0,2
"Pakistan",18,31,0,2
"Pakistan",19,53,0,2
"Pakistan",20,136,0,2
"Pakistan",21,236,0,2
"Pakistan",22,299,0,2
"Pakistan",23,454,2,13
"Pakistan",24,501,3,13
"Pakistan",25,730,3,13
"Pakistan",26,776,4,13
"Pakistan",27,875,6,13
"Pakistan",28,972,7,18
"Pakistan",29,1063,8,21
"Pakistan",30,1201,9,21
"Pakistan",31,1373,11,23
"Pakistan",32,1495,12,29
"Pakistan",33,1597,14,29
"Pakistan",34,1717,21,76
"Pakistan",35,1938,26,76
"Pakistan",36,2118,27,94
"Pakistan",37,2421,34,125
"Pakistan",38,2686,40,126
"Pakistan",39,2818,41,131
"Pakistan",40,3157,47,211
"Pakistan",41,3766,53,259
"Pakistan",42,4035,57,429
"Pakistan",43,4263,61,467
"Pakistan",44,4489,65,572
