"Country","Day","Confirmed","Deaths","Recovered"
"Panama",1,1,0,0
"Panama",2,8,1,0
"Panama",3,11,1,0
"Panama",4,27,1,0
"Panama",5,36,1,0
"Panama",6,43,1,0
"Panama",7,55,1,0
"Panama",8,69,1,0
"Panama",9,86,1,0
"Panama",10,109,1,0
"Panama",11,137,1,0
"Panama",12,200,1,0
"Panama",13,313,3,1
"Panama",14,313,3,1
"Panama",15,345,6,1
"Panama",16,443,8,1
"Panama",17,558,8,2
"Panama",18,674,9,2
"Panama",19,786,14,2
"Panama",20,901,17,4
"Panama",21,989,24,4
"Panama",22,1181,30,9
"Panama",23,1181,30,9
"Panama",24,1317,32,9
"Panama",25,1475,37,10
"Panama",26,1673,41,13
"Panama",27,1801,46,13
"Panama",28,1988,54,13
"Panama",29,2100,55,14
"Panama",30,2249,59,16
"Panama",31,2528,63,16
