"Country","Day","Confirmed","Deaths","Recovered"
"Paraguay",1,1,0,0
"Paraguay",2,1,0,0
"Paraguay",3,1,0,0
"Paraguay",4,5,0,0
"Paraguay",5,5,0,0
"Paraguay",6,6,0,0
"Paraguay",7,6,0,0
"Paraguay",8,6,0,0
"Paraguay",9,8,0,0
"Paraguay",10,9,0,0
"Paraguay",11,11,0,0
"Paraguay",12,11,0,0
"Paraguay",13,13,0,0
"Paraguay",14,18,1,0
"Paraguay",15,22,1,0
"Paraguay",16,22,1,0
"Paraguay",17,27,2,0
"Paraguay",18,37,3,0
"Paraguay",19,41,3,0
"Paraguay",20,52,3,1
"Paraguay",21,56,3,1
"Paraguay",22,59,3,1
"Paraguay",23,64,3,1
"Paraguay",24,65,3,1
"Paraguay",25,69,3,1
"Paraguay",26,77,3,2
"Paraguay",27,92,3,6
"Paraguay",28,96,3,12
"Paraguay",29,104,3,12
"Paraguay",30,113,5,12
"Paraguay",31,115,5,15
"Paraguay",32,119,5,15
"Paraguay",33,124,5,18
