"Country","Day","Confirmed","Deaths","Recovered"
"Philippines",1,1,0,0
"Philippines",2,1,0,0
"Philippines",3,1,0,0
"Philippines",4,2,1,0
"Philippines",5,2,1,0
"Philippines",6,2,1,0
"Philippines",7,2,1,0
"Philippines",8,2,1,0
"Philippines",9,3,1,0
"Philippines",10,3,1,0
"Philippines",11,3,1,0
"Philippines",12,3,1,0
"Philippines",13,3,1,0
"Philippines",14,3,1,1
"Philippines",15,3,1,1
"Philippines",16,3,1,1
"Philippines",17,3,1,1
"Philippines",18,3,1,1
"Philippines",19,3,1,1
"Philippines",20,3,1,1
"Philippines",21,3,1,1
"Philippines",22,3,1,1
"Philippines",23,3,1,1
"Philippines",24,3,1,1
"Philippines",25,3,1,1
"Philippines",26,3,1,1
"Philippines",27,3,1,1
"Philippines",28,3,1,1
"Philippines",29,3,1,1
"Philippines",30,3,1,1
"Philippines",31,3,1,1
"Philippines",32,3,1,1
"Philippines",33,3,1,1
"Philippines",34,3,1,1
"Philippines",35,3,1,1
"Philippines",36,3,1,1
"Philippines",37,5,1,1
"Philippines",38,6,1,1
"Philippines",39,10,1,1
"Philippines",40,20,1,1
"Philippines",41,33,1,2
"Philippines",42,49,1,2
"Philippines",43,52,2,2
"Philippines",44,64,5,2
"Philippines",45,111,8,2
"Philippines",46,140,11,2
"Philippines",47,142,12,2
"Philippines",48,187,12,5
"Philippines",49,202,19,5
"Philippines",50,217,17,8
"Philippines",51,230,18,8
"Philippines",52,307,19,13
"Philippines",53,380,25,15
"Philippines",54,462,33,18
"Philippines",55,552,35,20
"Philippines",56,636,38,26
"Philippines",57,707,45,28
"Philippines",58,803,54,31
"Philippines",59,1075,68,35
"Philippines",60,1418,71,42
"Philippines",61,1546,78,42
"Philippines",62,2084,88,49
"Philippines",63,2311,96,50
"Philippines",64,2633,107,51
"Philippines",65,3018,136,52
"Philippines",66,3094,144,57
"Philippines",67,3246,152,64
"Philippines",68,3660,163,73
"Philippines",69,3764,177,84
"Philippines",70,3870,182,96
"Philippines",71,4076,203,124
