"Country","Day","Confirmed","Deaths","Recovered"
"Poland",1,1,0,0
"Poland",2,1,0,0
"Poland",3,5,0,0
"Poland",4,5,0,0
"Poland",5,11,0,0
"Poland",6,16,0,0
"Poland",7,22,0,0
"Poland",8,31,0,0
"Poland",9,49,1,0
"Poland",10,68,2,0
"Poland",11,103,3,0
"Poland",12,119,3,0
"Poland",13,177,4,13
"Poland",14,238,5,13
"Poland",15,251,5,13
"Poland",16,355,5,1
"Poland",17,425,5,1
"Poland",18,536,5,1
"Poland",19,634,7,13
"Poland",20,749,8,13
"Poland",21,901,10,1
"Poland",22,1051,14,7
"Poland",23,1221,16,7
"Poland",24,1389,16,7
"Poland",25,1638,18,7
"Poland",26,1862,22,7
"Poland",27,2055,31,7
"Poland",28,2311,33,7
"Poland",29,2554,43,47
"Poland",30,2946,57,56
"Poland",31,3383,71,56
"Poland",32,3627,79,116
"Poland",33,4102,94,134
"Poland",34,4413,107,162
"Poland",35,4848,129,191
"Poland",36,5205,159,222
"Poland",37,5575,174,284
