"Country","Day","Confirmed","Deaths","Recovered"
"Qatar",1,1,0,0
"Qatar",2,3,0,0
"Qatar",3,3,0,0
"Qatar",4,7,0,0
"Qatar",5,8,0,0
"Qatar",6,8,0,0
"Qatar",7,8,0,0
"Qatar",8,8,0,0
"Qatar",9,15,0,0
"Qatar",10,18,0,0
"Qatar",11,24,0,0
"Qatar",12,262,0,0
"Qatar",13,262,0,0
"Qatar",14,320,0,0
"Qatar",15,337,0,4
"Qatar",16,401,0,4
"Qatar",17,439,0,4
"Qatar",18,439,0,4
"Qatar",19,452,0,4
"Qatar",20,460,0,4
"Qatar",21,470,0,10
"Qatar",22,481,0,27
"Qatar",23,494,0,33
"Qatar",24,501,0,33
"Qatar",25,526,0,41
"Qatar",26,537,0,41
"Qatar",27,549,0,43
"Qatar",28,562,0,43
"Qatar",29,590,1,45
"Qatar",30,634,1,48
"Qatar",31,693,1,51
"Qatar",32,781,2,62
"Qatar",33,835,2,71
"Qatar",34,949,3,72
"Qatar",35,1075,3,93
"Qatar",36,1325,3,109
"Qatar",37,1604,4,123
"Qatar",38,1832,4,131
"Qatar",39,2057,6,150
"Qatar",40,2210,6,178
"Qatar",41,2376,6,206
