"Country","Day","Confirmed","Deaths","Recovered"
"Romania",1,1,0,0
"Romania",2,1,0,0
"Romania",3,3,0,0
"Romania",4,3,0,0
"Romania",5,3,0,0
"Romania",6,3,0,0
"Romania",7,3,0,0
"Romania",8,4,0,1
"Romania",9,6,0,1
"Romania",10,9,0,1
"Romania",11,9,0,3
"Romania",12,15,0,3
"Romania",13,15,0,3
"Romania",14,25,0,3
"Romania",15,45,0,6
"Romania",16,49,0,6
"Romania",17,89,0,7
"Romania",18,123,0,9
"Romania",19,131,0,9
"Romania",20,158,0,9
"Romania",21,184,0,16
"Romania",22,260,0,19
"Romania",23,277,0,25
"Romania",24,308,0,25
"Romania",25,367,0,52
"Romania",26,433,3,64
"Romania",27,576,7,73
"Romania",28,794,11,79
"Romania",29,906,17,86
"Romania",30,1029,23,94
"Romania",31,1292,26,115
"Romania",32,1452,37,139
"Romania",33,1815,43,206
"Romania",34,2109,65,209
"Romania",35,2245,82,220
"Romania",36,2460,92,252
"Romania",37,2738,115,267
"Romania",38,3183,133,283
"Romania",39,3613,146,329
"Romania",40,3864,151,374
"Romania",41,4057,176,406
"Romania",42,4417,197,460
"Romania",43,4761,220,528
"Romania",44,5202,248,647
