"Country","Day","Confirmed","Deaths","Recovered"
"Rwanda",1,1,0,0
"Rwanda",2,1,0,0
"Rwanda",3,5,0,0
"Rwanda",4,7,0,0
"Rwanda",5,8,0,0
"Rwanda",6,8,0,0
"Rwanda",7,17,0,0
"Rwanda",8,17,0,0
"Rwanda",9,19,0,0
"Rwanda",10,36,0,0
"Rwanda",11,40,0,0
"Rwanda",12,41,0,0
"Rwanda",13,50,0,0
"Rwanda",14,54,0,0
"Rwanda",15,60,0,0
"Rwanda",16,70,0,0
"Rwanda",17,70,0,0
"Rwanda",18,75,0,0
"Rwanda",19,82,0,0
"Rwanda",20,84,0,0
"Rwanda",21,89,0,0
"Rwanda",22,102,0,0
"Rwanda",23,104,0,4
"Rwanda",24,105,0,4
"Rwanda",25,105,0,7
"Rwanda",26,110,0,7
"Rwanda",27,110,0,7
