"Country","Day","Confirmed","Deaths","Recovered"
"Serbia",1,1,0,0
"Serbia",2,1,0,0
"Serbia",3,1,0,0
"Serbia",4,1,0,0
"Serbia",5,5,0,0
"Serbia",6,12,0,0
"Serbia",7,19,0,0
"Serbia",8,35,0,0
"Serbia",9,46,0,0
"Serbia",10,48,0,0
"Serbia",11,55,0,1
"Serbia",12,65,0,1
"Serbia",13,83,0,1
"Serbia",14,103,0,1
"Serbia",15,135,1,1
"Serbia",16,171,1,1
"Serbia",17,222,2,2
"Serbia",18,249,3,3
"Serbia",19,303,3,15
"Serbia",20,384,4,15
"Serbia",21,384,1,0
"Serbia",22,457,1,0
"Serbia",23,659,10,0
"Serbia",24,741,13,0
"Serbia",25,785,16,0
"Serbia",26,900,16,0
"Serbia",27,1060,28,0
"Serbia",28,1171,31,0
"Serbia",29,1476,39,0
"Serbia",30,1624,44,0
"Serbia",31,1908,51,0
"Serbia",32,2200,58,0
"Serbia",33,2447,61,0
"Serbia",34,2666,65,0
"Serbia",35,2867,66,0
