"Country","Day","Confirmed","Deaths","Recovered"
"Slovakia",1,1,0,0
"Slovakia",2,1,0,0
"Slovakia",3,3,0,0
"Slovakia",4,3,0,0
"Slovakia",5,7,0,0
"Slovakia",6,10,0,0
"Slovakia",7,16,0,0
"Slovakia",8,32,0,0
"Slovakia",9,44,0,0
"Slovakia",10,54,0,0
"Slovakia",11,63,0,0
"Slovakia",12,72,0,0
"Slovakia",13,105,1,0
"Slovakia",14,123,1,0
"Slovakia",15,137,1,0
"Slovakia",16,178,1,0
"Slovakia",17,185,0,7
"Slovakia",18,186,0,7
"Slovakia",19,204,0,7
"Slovakia",20,216,0,7
"Slovakia",21,226,0,2
"Slovakia",22,269,0,2
"Slovakia",23,292,0,2
"Slovakia",24,314,0,2
"Slovakia",25,336,0,7
"Slovakia",26,363,0,3
"Slovakia",27,400,1,3
"Slovakia",28,426,1,5
"Slovakia",29,450,1,10
"Slovakia",30,471,1,10
"Slovakia",31,485,1,10
"Slovakia",32,534,2,8
"Slovakia",33,581,2,13
"Slovakia",34,682,2,16
"Slovakia",35,701,2,23
