"Country","Day","Confirmed","Deaths","Recovered"
"Slovenia",1,2,0,0
"Slovenia",2,7,0,0
"Slovenia",3,7,0,0
"Slovenia",4,16,0,0
"Slovenia",5,16,0,0
"Slovenia",6,31,0,0
"Slovenia",7,57,0,0
"Slovenia",8,89,0,0
"Slovenia",9,141,0,0
"Slovenia",10,181,1,0
"Slovenia",11,219,1,0
"Slovenia",12,253,1,0
"Slovenia",13,275,1,0
"Slovenia",14,275,1,0
"Slovenia",15,286,1,0
"Slovenia",16,341,1,0
"Slovenia",17,383,1,0
"Slovenia",18,414,2,0
"Slovenia",19,442,3,0
"Slovenia",20,480,4,3
"Slovenia",21,528,5,10
"Slovenia",22,562,6,10
"Slovenia",23,632,9,10
"Slovenia",24,684,9,10
"Slovenia",25,730,11,10
"Slovenia",26,756,11,10
"Slovenia",27,802,15,10
"Slovenia",28,841,15,10
"Slovenia",29,897,17,70
"Slovenia",30,934,20,70
"Slovenia",31,977,22,79
"Slovenia",32,997,28,79
"Slovenia",33,1021,30,102
"Slovenia",34,1059,36,102
"Slovenia",35,1091,40,120
"Slovenia",36,1124,43,128
