"Country","Day","Confirmed","Deaths","Recovered"
"South Korea",1,1,0,0
"South Korea",2,1,0,0
"South Korea",3,2,0,0
"South Korea",4,2,0,0
"South Korea",5,3,0,0
"South Korea",6,4,0,0
"South Korea",7,4,0,0
"South Korea",8,4,0,0
"South Korea",9,4,0,0
"South Korea",10,11,0,0
"South Korea",11,12,0,0
"South Korea",12,15,0,0
"South Korea",13,15,0,0
"South Korea",14,16,0,0
"South Korea",15,19,0,0
"South Korea",16,23,0,0
"South Korea",17,24,0,1
"South Korea",18,24,0,1
"South Korea",19,25,0,3
"South Korea",20,27,0,3
"South Korea",21,28,0,3
"South Korea",22,28,0,7
"South Korea",23,28,0,7
"South Korea",24,28,0,7
"South Korea",25,28,0,9
"South Korea",26,29,0,9
"South Korea",27,30,0,10
"South Korea",28,31,0,12
"South Korea",29,31,0,12
"South Korea",30,104,1,16
"South Korea",31,204,2,16
"South Korea",32,433,2,16
"South Korea",33,602,6,18
"South Korea",34,833,8,18
"South Korea",35,977,10,22
"South Korea",36,1261,12,22
"South Korea",37,1766,13,22
"South Korea",38,2337,13,22
"South Korea",39,3150,16,27
"South Korea",40,3736,17,30
"South Korea",41,4335,28,30
"South Korea",42,5186,28,30
"South Korea",43,5621,35,41
"South Korea",44,6088,35,41
"South Korea",45,6593,42,135
"South Korea",46,7041,44,135
"South Korea",47,7314,50,118
"South Korea",48,7478,53,118
"South Korea",49,7513,54,247
"South Korea",50,7755,60,288
"South Korea",51,7869,66,333
"South Korea",52,7979,66,510
"South Korea",53,8086,72,510
"South Korea",54,8162,75,510
"South Korea",55,8236,75,1137
"South Korea",56,8320,81,1407
"South Korea",57,8413,84,1540
"South Korea",58,8565,91,1540
"South Korea",59,8652,94,1540
"South Korea",60,8799,102,1540
"South Korea",61,8897,104,2909
"South Korea",62,8961,111,3166
"South Korea",63,9037,120,3507
"South Korea",64,9137,126,3730
"South Korea",65,9241,131,4144
"South Korea",66,9332,139,4528
"South Korea",67,9478,144,4811
"South Korea",68,9583,152,5033
"South Korea",69,9661,158,5228
"South Korea",70,9786,162,5408
"South Korea",71,9887,165,5567
"South Korea",72,9976,169,5828
"South Korea",73,10062,174,6021
"South Korea",74,10156,177,6325
"South Korea",75,10237,183,6463
"South Korea",76,10284,186,6598
"South Korea",77,10331,192,6694
"South Korea",78,10384,200,6776
"South Korea",79,10423,204,6973
