"Country","Day","Confirmed","Deaths","Recovered"
"Switzerland",1,1,0,0
"Switzerland",2,1,0,0
"Switzerland",3,8,0,0
"Switzerland",4,8,0,0
"Switzerland",5,18,0,0
"Switzerland",6,27,0,0
"Switzerland",7,42,0,0
"Switzerland",8,56,0,2
"Switzerland",9,90,0,3
"Switzerland",10,114,1,3
"Switzerland",11,214,1,3
"Switzerland",12,268,1,3
"Switzerland",13,337,2,3
"Switzerland",14,374,2,3
"Switzerland",15,491,3,3
"Switzerland",16,652,4,4
"Switzerland",17,652,4,4
"Switzerland",18,1139,11,4
"Switzerland",19,1359,13,4
"Switzerland",20,2200,14,4
"Switzerland",21,2200,14,4
"Switzerland",22,2700,27,4
"Switzerland",23,3028,28,15
"Switzerland",24,4075,41,15
"Switzerland",25,5294,54,15
"Switzerland",26,6575,75,15
"Switzerland",27,7474,98,131
"Switzerland",28,8795,120,131
"Switzerland",29,9877,122,131
"Switzerland",30,10897,153,131
"Switzerland",31,11811,191,131
"Switzerland",32,12928,231,1530
"Switzerland",33,14076,264,1530
"Switzerland",34,14829,300,1595
"Switzerland",35,15922,359,1823
"Switzerland",36,16605,433,1823
"Switzerland",37,17768,488,2967
"Switzerland",38,18827,536,4013
"Switzerland",39,19606,591,4846
"Switzerland",40,20505,666,6415
"Switzerland",41,21100,715,6415
"Switzerland",42,21657,765,8056
"Switzerland",43,22253,821,8704
"Switzerland",44,23280,895,9800
"Switzerland",45,24051,948,10600
